dest,dist_ly,maneuver,eta,delta_eta_total,mf_over_m0,t_earth_yr,tau_ship_yr,burn_t_earth_s,authority,g3_t_rel,g3_tau_rel,g3_dist_rel
TRAPPIST-1,40.5,roundtrip,2.0,8.0,3.775134544279098e-11,84.02249237893311,22.3333657465172,0.00025469271796915607,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.610236770232651e-16,0.0,0.0
TRAPPIST-1,40.5,roundtrip,3.0,12.0,2.3195228302435696e-16,81.40255568841086,8.085547143179303,0.0007034954496778394,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,3.340644611238291e-16
TRAPPIST-1,40.5,roundtrip,5.0,20.0,8.75651076269652e-27,81.00735512254576,1.091596972286647,0.005210847746774326,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.6701706474736578e-16,0.0,1.6703223056191454e-16
TRAPPIST-1,40.5,roundtrip,8.0,32.0,2.031092662734811e-42,81.0000182307026,0.05434495185150392,0.10466741493399903,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,3.3406438593582327e-16,0.0,0.0
TRAPPIST-1,40.5,roundtrip,12.0,48.0,2.8946403116483003e-63,81.00000000611794,0.0009953624257546877,5.714647867031002,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Sgr A*,26000.0,flyby,0.1,0.1,0.7408182206817179,260866.08943860373,259567.17168969882,1.7585279652267762e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Sgr A*,26000.0,flyby,0.24,0.24,0.4867522559599717,110405.38969791308,107300.27993601904,4.2540068911593785e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Sgr A*,26000.0,flyby,0.5,0.5,0.22313016014842982,56262.78875720498,49894.90353470853,9.148351794159287e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,2.462430611378691e-16,0.0,0.0
Sgr A*,26000.0,flyby,1.0,1.0,0.049787068367863944,34138.91742298262,22123.87133422236,2.063183804387278e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Sgr A*,26000.0,flyby,2.0,2.0,0.0024787521766663585,26970.182738916254,7168.734684066365,6.367317949228902e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.2842257564440357e-16,0.0,0.0
Sgr A*,26000.0,flyby,3.0,3.0,0.00012340980408667956,26129.215406155923,2595.360811389392,0.00017587386241945985,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.325558490407583e-16,0.0,0.0
Sgr A*,26000.0,flyby,5.0,5.0,3.059023205018258e-07,26002.360903532506,350.3891515953185,0.0013027119366935814,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,1.3321462818968692e-16
Sgr A*,26000.0,flyby,8.0,8.0,3.775134544279098e-11,26000.005851829745,17.444058614004696,0.026166853733499758,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.3321459820702737e-16,0.0,0.0
Sgr A*,26000.0,flyby,12.0,12.0,2.3195228302435696e-16,26000.00000196307,0.3194990423912479,1.4286619667577505,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.3321462817962887e-16,0.0,0.0
Sgr A*,26000.0,arrive,0.1,0.2,0.5488116360940264,260866.08943860373,259567.17168969882,3.5170559304535524e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Sgr A*,26000.0,arrive,0.24,0.48,0.23692775868212176,110405.38969791308,107300.27993601904,8.508013782318757e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Sgr A*,26000.0,arrive,0.5,1.0,0.049787068367863944,56262.78875720498,49894.90353470853,1.8296703588318574e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,2.462430611378691e-16,0.0,0.0
Sgr A*,26000.0,arrive,1.0,2.0,0.0024787521766663585,34138.91742298262,22123.87133422236,4.126367608774556e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Sgr A*,26000.0,arrive,2.0,4.0,6.14421235332821e-06,26970.18273891625,7168.734684066365,0.00012734635898457804,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,2.568451512888072e-16,0.0,1.3321462818968692e-16
Sgr A*,26000.0,arrive,3.0,6.0,1.522997974471263e-08,26129.21540615592,2595.3608113893933,0.0003517477248389197,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.325558490407583e-16,0.0,0.0
Sgr A*,26000.0,arrive,5.0,10.0,9.357622968840175e-14,26002.360903532506,350.3891515953207,0.002605423873387163,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.3320253286928732e-16,0.0,0.0
