profile,kind,angle,F_peak_geo,t_peak_R,t_span_R,c15_rel,g3_map_rel
mission_proxima_arrive_eta8.0,mission,depart,0.09071831756238036,0.0,80416218066600.44,0.0,0.0
mission_proxima_flyby_eta0.1,mission,dest,0.0,0.0,363212318063179.7,0.0,0.0
mission_proxima_flyby_eta0.1,mission,side,0.04535915878119018,0.0,403420422571648.1,0.0,3.098504513062915e-16
mission_proxima_flyby_eta0.1,mission,depart,0.09071831756238036,0.0,443628527080116.56,0.0,0.0
mission_proxima_flyby_eta0.24,mission,dest,0.0,0.0,130530028078911.83,0.0,1.1970425679027602e-16
mission_proxima_flyby_eta0.24,mission,side,0.04535915878119018,0.0,170738132587380.22,0.0,0.0
mission_proxima_flyby_eta0.24,mission,depart,0.09071831756238036,0.0,210946237095848.62,0.0,0.0
mission_proxima_flyby_eta0.5,mission,dest,0.0,0.0,46800360502593.6,4.287293576118017e-16,0.0
mission_proxima_flyby_eta0.5,mission,side,0.04535915878119018,0.0,87008465011062.0,4.287293576118017e-16,0.0
mission_proxima_flyby_eta0.5,mission,depart,0.09071831756238036,0.0,127216569519530.4,4.287293576118017e-16,1.228220510819641e-16
mission_proxima_flyby_eta1.0,mission,dest,0.0,0.0,12586555474197.79,0.0,0.0
mission_proxima_flyby_eta1.0,mission,side,0.04535915878119018,0.0,52794659982666.195,0.0,0.0
mission_proxima_flyby_eta1.0,mission,depart,0.09071831756238036,0.0,93002764491134.6,0.0,0.0
mission_proxima_flyby_eta12.0,mission,dest,0.0,0.0,3041.0831791318847,1.1102230246251568e-16,1.4953466383523172e-16
mission_proxima_flyby_eta12.0,mission,side,0.04535915878119018,0.0,40208104511509.484,1.1102230246251568e-16,1.94301623886888e-16
mission_proxima_flyby_eta12.0,mission,depart,0.09071831756238036,0.0,80416209019977.88,1.1102230246251568e-16,0.0
mission_proxima_flyby_eta2.0,mission,dest,0.0,0.0,1500354190721.5742,1.1129818307607449e-16,1.6272199358645042e-16
mission_proxima_flyby_eta2.0,mission,side,0.04535915878119018,0.0,41708458699189.97,1.1129818307607449e-16,0.0
mission_proxima_flyby_eta2.0,mission,depart,0.09071831756238036,0.0,81916563207658.38,1.1129818307607449e-16,1.9074286552269834e-16
mission_proxima_flyby_eta3.0,mission,dest,0.0,0.0,199827175190.20087,2.220720107883758e-16,0.0
mission_proxima_flyby_eta3.0,mission,side,0.04535915878119018,0.0,40407931683658.59,2.220720107883758e-16,0.0
mission_proxima_flyby_eta3.0,mission,depart,0.09071831756238036,0.0,80616036192127.0,2.220720107883758e-16,0.0
mission_proxima_flyby_eta5.0,mission,dest,0.0,0.0,3651056004.0128446,3.33067009273518e-16,1.306025318918793e-16
mission_proxima_flyby_eta5.0,mission,side,0.04535915878119018,0.0,40211755564472.42,3.33067009273518e-16,0.0
mission_proxima_flyby_eta5.0,mission,depart,0.09071831756238036,0.0,80419860072940.83,3.33067009273518e-16,0.0
mission_proxima_flyby_eta8.0,mission,dest,0.0,0.0,9049658.410013635,1.110223024667069e-16,2.0582491237126713e-16
mission_proxima_flyby_eta8.0,mission,side,0.04535915878119018,0.0,40208113558126.8,1.110223024667069e-16,1.943015801700289e-16
mission_proxima_flyby_eta8.0,mission,depart,0.09071831756238036,0.0,80416218066595.19,1.110223024667069e-16,0.0
mission_proxima_roundtrip_eta0.1,mission,dest,0.10025924630669401,363212318063179.44,806840845143296.5,0.0,0.0
mission_proxima_roundtrip_eta0.1,mission,side,0.04535915878119018,0.0,806840845143296.6,0.0,3.0985045130629135e-16
mission_proxima_roundtrip_eta0.1,mission,depart,0.09071831756238036,0.0,806840845143296.6,0.0,0.0
mission_proxima_roundtrip_eta0.24,mission,dest,0.11532558411976335,130530028078911.36,341476265174761.56,4.705006523849998e-16,0.0
mission_proxima_roundtrip_eta0.24,mission,side,0.04535915878119018,0.0,341476265174761.6,4.705006523849998e-16,0.0
mission_proxima_roundtrip_eta0.24,mission,depart,0.09071831756238036,0.0,341476265174761.9,4.705006523849998e-16,0.0
mission_proxima_roundtrip_eta0.5,mission,dest,0.14956921980722548,46800360502592.81,174016930022126.28,5.564909153803724e-16,1.7958022817680187e-16
mission_proxima_roundtrip_eta0.5,mission,side,0.04535915878119018,0.0,174016930022126.22,5.564909153803724e-16,0.0
mission_proxima_roundtrip_eta0.5,mission,depart,0.09071831756238036,0.0,174016930022127.16,5.564909153803724e-16,1.7958022817680096e-16
mission_proxima_roundtrip_eta1.0,mission,dest,0.24659795413819555,12586555474196.893,105589319965337.25,8.881838768904737e-16,0.0
mission_proxima_roundtrip_eta1.0,mission,side,0.04535915878119018,0.0,105589319965337.45,8.881838768904737e-16,0.0
mission_proxima_roundtrip_eta1.0,mission,depart,0.09071831756238036,0.0,105589319965337.16,8.881838768904737e-16,0.0
mission_proxima_roundtrip_eta12.0,mission,dest,14764.840852748175,3041.083146794322,80416209023029.52,0.0,0.0
mission_proxima_roundtrip_eta12.0,mission,side,0.04535915878119018,0.0,80416209023029.5,0.0,1.9430162388686254e-16
mission_proxima_roundtrip_eta12.0,mission,depart,0.09071831756238036,0.0,80416209023029.42,0.0,0.0
mission_proxima_roundtrip_eta2.0,mission,dest,0.6703227376690338,1500354190721.0317,83416917398388.0,6.661338148002414e-16,0.0
mission_proxima_roundtrip_eta2.0,mission,side,0.04535915878119018,0.0,83416917398387.95,6.661338148002414e-16,0.0
mission_proxima_roundtrip_eta2.0,mission,depart,0.09071831756238036,0.0,83416917398387.95,6.661338148002414e-16,1.8731212429460927e-16
mission_proxima_roundtrip_eta3.0,mission,dest,1.822126117008655,199827175189.96368,80815863367326.77,4.440892098500627e-16,0.0
mission_proxima_roundtrip_eta3.0,mission,side,0.04535915878119018,0.0,80815863367326.69,4.440892098500627e-16,0.0
mission_proxima_roundtrip_eta3.0,mission,depart,0.09071831756238036,0.0,80815863367326.88,4.440892098500627e-16,0.0
mission_proxima_roundtrip_eta5.0,mission,dest,13.463792097903623,3651056003.977856,80423511128955.1,2.220446049250313e-16,0.0
mission_proxima_roundtrip_eta5.0,mission,side,0.04535915878119018,0.0,80423511128955.23,2.220446049250313e-16,0.0
mission_proxima_roundtrip_eta5.0,mission,depart,0.09071831756238036,0.0,80423511128954.92,2.220446049250313e-16,0.0
mission_proxima_roundtrip_eta8.0,mission,dest,270.42749330856554,9049658.408249227,80416227116264.12,0.0,0.0
mission_proxima_roundtrip_eta8.0,mission,side,0.04535915878119018,0.0,80416227116264.11,0.0,3.88603160340007e-16
mission_proxima_roundtrip_eta8.0,mission,depart,0.09071831756238036,0.0,80416227116264.02,0.0,0.0
mission_sgr_arrive_eta0.1,mission,dest,0.10025924630669401,2.2220047693276861e+18,2.2220047693276861e+18,2.460664133741986e-16,0.0
mission_sgr_arrive_eta0.1,mission,side,0.04535915878119018,0.0,2.467983761614787e+18,2.460664133741986e-16,2.0745679447461253e-16
mission_sgr_arrive_eta0.1,mission,depart,0.09071831756238036,0.0,2.7139627539018875e+18,2.460664133741986e-16,0.0
mission_sgr_arrive_eta0.24,mission,dest,0.11532558411976335,7.985366423651039e+17,7.985366423651039e+17,1.4549382935326348e-16,1.6029320786193345e-16
mission_sgr_arrive_eta0.24,mission,side,0.04535915878119018,0.0,1.0445156346522045e+18,1.4549382935326348e-16,0.0
mission_sgr_arrive_eta0.24,mission,depart,0.09071831756238036,0.0,1.2904946269393055e+18,1.4549382935326348e-16,0.0
mission_sgr_arrive_eta0.5,mission,dest,0.14956921980722548,2.8630808778056474e+17,2.8630808778056474e+17,9.347151466088164e-16,0.0
mission_sgr_arrive_eta0.5,mission,side,0.04535915878119018,0.0,5.322870800676655e+17,9.347151466088164e-16,0.0
mission_sgr_arrive_eta0.5,mission,depart,0.09071831756238036,0.0,7.782660723547663e+17,9.347151466088164e-16,1.6446817424883483e-16
